"id","submitdate","lastpage","startlanguage","seed","DT01[SQ001]","DT01[SQ011]","DT01[SQ002]","DT01[SQ005]","DT01[SQ004]","DT01[SQ003]","DT01[SQ006]","DT01[SQ007]","DT01[SQ008]","DT01[SQ009]","DT01[SQ010]","DT01[other]","DT06[SQ001]","DT06[SQ002]","DT06[SQ003]","DT06[SQ004]","DT06[other]","DT02[SQ001]","DT02[SQ002]","DT02[SQ003]","DT02[SQ006]","DT02[SQ005]","DT02[other]","DT03","DT03[other]","DT04a","DT04b","DT05a","DT05b","DQ01","DQ02","DQ03[SQ001]","DQ03[SQ002]","DQ04","DHRP01","DHRP02[SQ001]","DHRP02[SQ002]","DHRP02[SQ003]","DHRP02[SQ004]","DHRP07[SQ001]","DHRP07[SQ001comment]","DHRP07[SQ002]","DHRP07[SQ002comment]","DHRP07[SQ003]","DHRP07[SQ003comment]","DHRP07[SQ004]","DHRP07[SQ004comment]","DHRP07[SQ005]","DHRP07[SQ005comment]","DHRP07[SQ006]","DHRP07[SQ006comment]","DHRP07[other]","DHRP07[othercomment]","DHRP06[SQ001]","DHRP06[SQ002]","DHRP06[SQ003]","DHRP06[SQ004]","DHRP05[SQ001]","DHRP05[SQ002]","DHRP05[SQ003]","DHRP05[SQ004]","DHRP03a[SQ001]","DHRP03a[SQ002]","DHRP03a[SQ003]","DHRP03b[SQ001]","DHRP03b[SQ002]","DHRP03b[SQ003]","DHRP03c[SQ001]","DHRP03c[SQ002]","DHRP03c[SQ003]","DHRP04[SQ001]","DHRP04[SQ002]","DHRP04[SQ003]","DHRP04[SQ004]","ORDM01","ORDM02[SQ001]","ORDM02[SQ002]","ORDM02[SQ003]","ORDM02[SQ016]","ORDM02[SQ004]","ORDM02[SQ005]","ORDM02[SQ006]","ORDM02[SQ007]","ORDM02[SQ008]","ORDM02[SQ009]","ORDM02[SQ010]","ORDM02[SQ011]","ORDM02[SQ012]","ORDM02[SQ013]","ORDM02[SQ014]","ORDM02[SQ015]","ORDM03","D03","D03[other]","D06","D02[SQ001]","D02[SQ002]","D02[SQ008]","D02[SQ003]","D02[SQ004]","D02[SQ005]","D02[SQ006]","D02[SQ007]","D02[other]"
"271","1980-01-01 00:00:00","5","de","2014298801","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","","Yes","No","Yes","No","","Yes","No","Yes","Yes","No","","Predominantly proprietary formats","","No","","Yes","Holz","100 MB - 999 MB","1 TB - 5 TB","10 GB - 99 GB","10 GB - 99 GB","Fewer than 5 people","1-5","Most of the time","Rarely","Never, or almost never","Most of the time","No","","No","","No","","Yes","","No","","No","","","","Tend to agree","Completely agree","Completely agree","Completely agree","Never, or almost never","Never, or almost never","Most of the time","Sometimes","","","","Sometimes","Never, or almost never","Rarely","Most of the time","Rarely","Rarely","Always, or almost always","Always, or almost always","Rarely","Rarely","To some extent","To some extent","To some extent","Do not know/cannot answer","To some extent","","To a very large extent","To little or no extent at all","To some extent","To little or no extent at all","To a large extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To some extent","To some extent","To little or no extent at all","","Doctorate/PhD","","Architecture","No","No","Yes","No","No","No","No","No",""
"272","1980-01-01 00:00:00","5","de","940406621","No","No","No","No","No","No","No","No","No","No","Yes","","No","Yes","No","No","","No","No","No","Yes","No","","Predominantly open source formats","","No","","No","","< 1 MB","0 - 99 GB","< 10 GB","< 10 GB","Fewer than 5 people","1-5","Never, or almost never","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","No","","Yes","","No","","No","","No","","No","","","","Tend to disagree","Tend to disagree","Tend to agree","Tend to disagree","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","","","","Never, or almost never","Never, or almost never","Never, or almost never","","","","Most of the time","Most of the time","Never, or almost never","Never, or almost never","To little or no extent at all","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","","Doctorate/PhD","","Mathematics, Physics, and Geodesy","No","Yes","No","No","No","No","No","No",""
"273","1980-01-01 00:00:00","5","de","94343082","No","No","Yes","No","Yes","Yes","No","No","Yes","No","Yes","","No","No","No","Yes","","No","No","Yes","Yes","No","","Proprietary and open source formats","","No","","No","","< 1 MB","0 - 99 GB","< 10 GB","< 10 GB","Fewer than 5 people","1-5","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","Yes","Meist wird ein Pseudocode in der Appendix einer Arbeit angehängt die frei zugänglich im Internet zu finden ist.","No","","No","","No","","No","","No","","","","Tend to agree","Completely agree","Tend to disagree","Tend to agree","Never, or almost never","Always, or almost always","Always, or almost always","Always, or almost always","arXiv.org","","","Never, or almost never","Never, or almost never","Always, or almost always","Sometimes","Always, or almost always","Always, or almost always","Always, or almost always","Always, or almost always","Rarely","Never, or almost never","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To a large extent","To a large extent","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Mathematics, Physics, and Geodesy","No","No","No","No","No","No","Yes","No",""
"274","1980-01-01 00:00:00","5","de","141427342","No","No","Yes","No","Yes","No","No","No","Yes","No","Yes","Evaluationsdaten","Yes","No","No","No","","No","Yes","No","No","No","","Predominantly proprietary formats","","Yes","Demographische Daten bei Evaluationen","N/A","","< 1 MB","0 - 99 GB","< 10 GB","< 10 GB","Fewer than 5 people",">20","Never, or almost never","Sometimes","Never, or almost never","Never, or almost never","No","","No","","No","","No","","Yes","Es werden nur die Ergebnisse der Auswertungen und Analysen weitergegeben bzw. veroeffentlicht","No","","","","Tend to agree","Tend to disagree","Tend to disagree","Tend to agree","Never, or almost never","Rarely","Never, or almost never","Never, or almost never","Zenodo","","","Never, or almost never","Never, or almost never","Never, or almost never","","","","Most of the time","Rarely","Rarely","Never, or almost never","To little or no extent at all","To a large extent","To some extent","To a large extent","To some extent","To a large extent","To some extent","To a large extent","To a large extent","To a large extent","To a large extent","To little or no extent at all","To some extent","To some extent","To some extent","To some extent","To some extent","","Doctorate/PhD","","Computer Science and Biomedical Engineering","No","No","No","No","Yes","No","No","No",""
"275","1980-01-01 00:00:00","5","de","1401553060","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","","No","Yes","No","No","","No","Yes","No","No","Yes","","Predominantly proprietary formats","","Yes","Produktionsdaten Industrie","Yes","Materialproben (sehr häufig)","10 GB - 99 GB","500 GB - 900 GB","10 TB - 100 TB","1 TB - 10 TB","30 or more people",">20","Rarely","Rarely","Never, or almost never","Rarely","No","","No","","Yes","Über Cloud, Bigmail oder Sharepoint","No","","No","","No","","","","Tend to agree","Tend to disagree","Tend to disagree","Tend to agree","Always, or almost always","Never, or almost never","Sometimes","Never, or almost never","","","","Rarely","Most of the time","Sometimes","Most of the time","Rarely","Never, or almost never","Most of the time","Most of the time","Most of the time","Never, or almost never","To some extent","To little or no extent at all","To a large extent","To little or no extent at all","To some extent","To some extent","To little or no extent at all","To some extent","To a large extent","To little or no extent at all","To a large extent","To a large extent","To little or no extent at all","To some extent","To some extent","To some extent","","","Doctorate/PhD","","Technical Chemistry, Chemical and Process Engineering, Biotechnology","Yes","No","No","No","No","No","No","No",""
"276","1980-01-01 00:00:00","5","de","1797933816","No","No","No","No","Yes","Yes","No","No","Yes","No","Yes","","Yes","Yes","Yes","No","","Yes","No","Yes","No","No","","Do not know/Cannot answer","","Yes","","No","","Up to 99 MB","100 GB - 499 GB","< 10 GB","10 GB - 99 GB","Fewer than 5 people",">20","Most of the time","Always, or almost always","Rarely","Most of the time","No","","Yes","","No","","No","","No","","No","","","","Tend to agree","Completely disagree","Tend to disagree","Tend to agree","Rarely","Rarely","Most of the time","Never, or almost never","","","","Sometimes","Sometimes","Sometimes","Most of the time","Sometimes","Sometimes","Always, or almost always","Always, or almost always","Rarely","Never, or almost never","To some extent","To some extent","To some extent","To little or no extent at all","To some extent","To little or no extent at all","To some extent","To little or no extent at all","To some extent","To some extent","To a large extent","To a large extent","To some extent","To some extent","To a large extent","To a large extent","To some extent","","Doctorate/PhD","","Mechanical Engineering and Economic Sciences","No","No","No","No","No","Yes","No","No",""
"277","1980-01-01 00:00:00","5","de","726614105","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","No","No","No","","No","Yes","Yes","No","Yes","","Do not know/Cannot answer","","Yes","Messdaten aus Industrieprojekt","No","","100 MB - 999 MB","0 - 99 GB","10 GB - 99 GB","10 GB - 99 GB","Fewer than 5 people","","","","","","No","","Yes","Teil des Industrieprojekts","No","","No","","No","","No","","","","Completely agree","Tend to disagree","Tend to disagree","Completely agree","Rarely","Never, or almost never","Sometimes","Never, or almost never","","","","Sometimes","Never, or almost never","Do not know/cannot answer","","","","Rarely","Most of the time","Never, or almost never","Rarely","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","To some extent","To some extent","To a large extent","To a very large extent","To a large extent","To a very large extent","To a large extent","To some extent","","Do not know/cannot answer","To a large extent","To some extent","To a large extent","To some extent","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Mechanical Engineering and Economic Sciences","No","No","No","No","No","Yes","No","No",""
"279","1980-01-01 00:00:00","5","en","519927201","No","No","No","No","Yes","Yes","No","No","No","No","Yes","","No","Yes","No","No","","Yes","No","Yes","No","No","Theoretically funded data","Predominantly open source formats","","No","","No","","Up to 99 MB","0 - 99 GB","< 10 GB","< 10 GB","10-19 people","1-5","Always, or almost always","Most of the time","Always, or almost always","Rarely","Yes","","No","","No","","No","","No","","No","","","","Completely agree","Completely agree","Tend to disagree","Completely agree","Rarely","Always, or almost always","Do not know/cannot answer","Do not know/cannot answer","Personal website","arXiv","","Most of the time","Do not know/cannot answer","Rarely","Sometimes","Sometimes","Sometimes","Always, or almost always","Always, or almost always","Do not know/cannot answer","Do not know/cannot answer","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","","Doctorate/PhD","","Mathematics, Physics, and Geodesy","No","No","No","No","Yes","No","No","No",""
"280","1980-01-01 00:00:00","5","en","1728195460","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","","Yes","No","Yes","No","","No","Yes","Yes","Yes","Yes","","Predominantly proprietary formats","","Yes","confidential data from industry projects","Yes","metal samples","1 GB - 9 GB","0 - 99 GB","10 GB - 99 GB","< 10 GB","5-9 people","11-20","Never, or almost never","Rarely","Never, or almost never","Never, or almost never","No","","Yes","","No","","No","","No","","No","","","","Tend to agree","Tend to agree","Tend to disagree","Tend to agree","Most of the time","Never, or almost never","Never, or almost never","Never, or almost never","","","","Never, or almost never","Never, or almost never","Sometimes","Always, or almost always","","","Always, or almost always","Sometimes","Sometimes","Sometimes","To some extent","To little or no extent at all","To some extent","To little or no extent at all","To some extent","To some extent","To little or no extent at all","To a large extent","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To some extent","To little or no extent at all","To little or no extent at all","","Doctorate/PhD","","Mechanical Engineering and Economic Sciences","No","No","Yes","No","No","No","No","No",""
"281","1980-01-01 00:00:00","5","de","373333511","No","Yes","Yes","No","Yes","No","No","No","No","No","Yes","","Yes","No","No","No","","Yes","Yes","Yes","Yes","Yes","","Predominantly open source formats","","No","","No","","1 GB - 9 GB","1 TB - 5 TB","1 TB - 10 TB","10 TB - 100 TB","10-19 people","1-5","Most of the time","Never, or almost never","Sometimes","Never, or almost never","No","","Yes","","No","","Yes","","No","","No","","","","Completely agree","Tend to disagree","Tend to agree","Tend to agree","Never, or almost never","Never, or almost never","Rarely","Never, or almost never","","","","Most of the time","Most of the time","Rarely","Always, or almost always","Never, or almost never","Never, or almost never","Rarely","Always, or almost always","","Never, or almost never","To some extent","To little or no extent at all","Do not know/cannot answer","Do not know/cannot answer","To little or no extent at all","To little or no extent at all","Do not know/cannot answer","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","","Doctorate/PhD","","Civil Engineering Sciences","No","No","No","No","Yes","No","No","No",""
